Region,AMCOS,Beekeeping,Fishing,Housing,Industry,Irrigation,J_Venture,Mining,Others,SACCOS,Union,Total_Jun2025,Total_Jun2024,New_Cooperatives
Arusha,46,1,1,35,150,1,0,0,0,0,0,234,232,2
Dar es Salaam,21,6,8,11,2,2,0,0,0,67,557,1,675,655,20
Dodoma,63,3,2,1,1,12,0,75,1,0,0,158,136,22
Geita,233,1,7,0,2,0,87,0,0,46,204,3,583,569,14
Iringa,88,1,1,0,1,4,4,0,9,81,2,0,0,191,187,4
Kagera,276,1,8,0,15,0,60,0,2,0,0,362,349,13
Katavi,43,3,1,0,3,0,5,0,1,0,0,56,53,3
Kigoma,155,9,7,0,1,2,1,1,8,39,1,0,224,203,21
Kilimanjaro,126,1,3,0,4,12,1,0,27,124,2,0,300,298,2
Lindi,169,11,6,0,12,0,2,0,0,0,0,200,193,7
Manyara,60,1,4,0,1,4,8,0,75,1,0,154,149,5
Mara,258,0,21,0,2,2,17,24,44,3,0,371,356,15
Mbeya,206,18,2,0,14,1,58,0,107,5,0,411,400,11
Morogoro,210,3,4,0,2,3,5,3,10,39,113,3,395,361,34
Mtwara,393,5,28,0,9,2,0,0,0,0,0,437,421,16
Mwanza,253,30,4,0,1,2,20,66,1,0,0,377,375,2
Njombe,121,1,1,0,1,2,75,76,2,0,0,279,256,23
Pwani,94,1,7,0,1,1,3,18,39,1,0,165,163,2
Rukwa,109,9,4,0,21,1,0,0,0,0,0,144,136,8
Ruvuma,232,1,3,0,3,66,3,0,0,0,0,308,301,7
Shinyanga,248,1,1,0,8,31,21,2,0,0,0,312,283,29
Simiyu,335,0,36,0,1,0,0,0,0,0,0,372,369,3
Singida,87,4,3,0,9,2,22,2,0,0,0,129,115,14
Songwe,234,1,1,0,1,21,16,1,0,0,0,275,238,37
Tabora,480,24,4,0,12,1,46,45,3,0,0,615,558,57
Tanga,476,9,5,0,18,14,100,658,28,1568,450,2196,530,7295
