Region,AMCOS,Total_Cooperatives_Jun2025,Total_Cooperatives_Jun2024,New_Cooperatives_FY2024_25
Arusha,46,234,232,2
Dar es Salaam,21,675,655,20
Dodoma,63,158,136,22
Geita,233,583,569,14
Iringa,88,191,187,4
Kagera,276,362,349,13
Katavi,43,56,53,3
Kigoma,155,224,203,21
Kilimanjaro,126,300,298,2
Lindi,169,200,193,7
Manyara,60,154,149,5
Mara,258,371,356,15
Mbeya,206,411,400,11
Morogoro,210,395,361,34
Mtwara,393,437,421,16
Mwanza,253,377,375,2
Njombe,121,279,256,23
Pwani,94,165,163,2
Rukwa,109,144,136,8
Ruvuma,232,308,301,7
Shinyanga,248,312,283,29
Simiyu,335,372,369,3
Singida,87,129,115,14
Songwe,234,275,238,37
Tabora,480,615,558,57
Tanga,79,257,248,9
TOTAL,4619,7984,7604,380
