Crop,Production_Tonnes,Value_TZS,Value_TZS_Billions
Tobacco,117464.24,687305154482,687.31
Cashew Nuts,409038.60,1469036244102,1469.04
Cotton,130644.37,176369892750,176.37
Coffee,53532.11,605737995702,605.74
Sesame,145297.43,534429302261,534.43
Cocoa,10675.09,228798028788,228.80
Sisal,61215.56,238740645000,238.74
Tea,24825.00,9085950,0.01
Pigeon Peas,96044.45,190803447143,190.80
Soya Beans,1204.20,1812093471,1.81
Chick Peas,20729.22,40809705710,40.81
Green Gram,2220.30,3097319895,3.10
Sugarcane,1159237.91,98013413050,98.01
Maize,5241.00,3537675000,3.54
Pyrethrum,3.00,11100000,0.01
TOTAL,"2,237,372.47","4,278,511,103,303","4,278.51"
