Crop,Sales_Weight_Kg_FY2023,Sales_Value_TZS_FY2023,Production_Tonnes_FY2025,Value_TZS_FY2025
Sesame,79170426,245130003228,145297430,534429302261
Cashew Nuts,175268966,325930188119,409038600,1469036244102
Cotton,174921502,313256754000,130644370,176369892750
Coffee,55041758,357755593782,53532110,605737995702
Tobacco,60874846,250227232286,117464240,687305154482
Cocoa,8868505,37919884675,10675090,228798028788
Sisal,2838953,9611059550,61215560,238740645000
Tea,13266460,87451210873,24825000,9085950
Pigeon Peas,5431983,4420536587,96044450,190803447143
Soybeans,5152290,6267650000,1204200,1812093471
Sugar Cane,1243664000,109321853560,1159237910,98013413050
