Region,Registered_SACCOS,Licensed_SACCOS,License_Rate_Pct,Share_Capital_Millions_TZS,Savings_Millions_TZS,Deposits_Millions_TZS,Loans_Issued_Millions_TZS
Arusha,183,68,37,9198.84,28783.6,1418.37,26872.1
Dar es Salaam,806,159,20,76385.96,364352.78,11077.7,396177.64
Dodoma,159,25,16,4286.67,8224.51,1750.46,11028.44
Geita,266,4,2,1163.04,1137.4,520.65,1016.61
Iringa,110,24,22,4154.77,7047.07,1376.12,7372.68
Kagera,187,23,12,5363.64,6756.17,985.18,12588.92
Katavi,26,2,8,49.41,345.72,0.09,425.24
Kigoma,94,3,3,44.82,202.14,0.52,184.73
Kilimanjaro,244,36,15,9372.62,43271.51,8900.03,39105.79
Lindi,26,3,12,670.93,1093.71,321.25,1214.85
Manyara,79,14,18,1276.6,781.21,538.04,3175.12
Mara,94,12,13,2305.16,1450.52,555.3,3322.33
Mbeya,171,39,23,17624.48,21856.71,5887.7,25773.68
Morogoro,141,26,18,5499.85,8217.97,1742.6,7199.74
Mtwara,69,2,3,201.47,230.47,-0.42,305.7
Mwanza,143,17,12,3517.16,4419.99,490.23,2518.35
Njombe,108,15,14,1384.55,2933.55,2228.91,12761.72
Pwani,98,11,11,1958.41,6050.14,188.75,7030.74
Rukwa,97,5,5,663.32,838.44,14.33,509.73
Ruvuma,84,11,13,1379.32,2349.86,818.51,2143.53
Shinyanga,256,9,4,1622.43,1457.43,125.22,1228.82
Simiyu,41,1,2,112.33,540.28,0,15.7
Singida,110,5,5,390.58,974.2,15.98,1544.41
Songwe,30,3,10,226.49,1150.5,11.2,1024.89
Tabora,180,1,1,146.71,39.9,0,13.29
Tanga,144,15,10,2465.26,4010.76,781.74,7548.58
TOTAL,3946,533,14,151464.81,518516.53,39748.47,572103.3
