Region,Permanent_Employees,Casual_Employees,Total_Jobs,Change_from_Dec2022
Arusha,1033,801,1834,+174
Dar es Salaam,3965,56,4021,+404
Dodoma,636,34,670,+69
Geita,3431,19920,23351,+480
Iringa,872,152,1024,+158
Kagera,3384,30916,34300,+1318
Katavi,661,642,1303,-662
Kigoma,888,870,1758,-717
Kilimanjaro,2449,354,2803,+449
Lindi,4852,6328,11180,+954
Manyara,218,220,438,-19
Mara,442,455,897,+18
Mbeya,2477,3869,6346,+436
Morogoro,1267,710,1977,+32
Mtwara,3977,16536,20513,+581
Mwanza,1733,657,2390,+146
Njombe,606,1474,2080,+69
Pwani,742,4807,5549,+195
Rukwa,133,463,596,+19
Ruvuma,1308,1673,2981,+1853
Shinyanga,1681,7925,9606,+271
Simiyu,2371,7992,10363,+411
Singida,303,392,695,+33
Songwe,159,922,1081,+63
Tabora,2594,1843,4437,+149
Tanga,914,875,1789,+85
TOTAL,43096,110886,153982,+7427
