Region,AMCOS,SACCOS,Consumer,Beekeeping,Dairy,Fishing,Housing,Industry,Irrigation,J_Venture,Mining,Transport,Multipurpose,Others,Total
Arusha,47,183,15,0,0,0,0,1,1,0,9,5,1,1,1,263
Dar es Salaam,20,806,18,0,5,7,4,11,1,3,6,2,0,119,7,1010
Dodoma,61,159,3,3,1,0,0,1,0,2,4,2,0,5,5,256
Geita,201,266,0,0,0,4,0,0,0,9,121,6,3,0,3,664
Iringa,86,110,3,1,0,1,1,0,5,4,0,0,0,0,1,211
Kagera,313,187,0,8,3,0,2,0,0,20,0,6,2,1,3,542
Katavi,29,26,0,1,0,0,0,0,0,1,0,0,0,2,1,59
Kigoma,136,94,1,8,0,0,2,0,0,2,1,6,1,1,1,252
Kilimanjaro,122,244,11,26,1,2,5,28,1,3,0,2,1,7,2,472
Lindi,163,26,1,2,0,1,0,0,0,0,0,0,0,4,2,197
Manyara,65,79,0,0,0,0,6,0,0,2,4,0,3,0,1,159
Mara,248,94,2,13,0,0,2,0,0,5,3,3,0,0,3,370
Mbeya,191,171,0,18,0,3,15,1,50,0,1,5,5,0,0,464
Morogoro,214,141,1,0,0,2,0,2,1,1,8,1,0,13,3,388
Mtwara,367,69,0,3,0,2,0,0,0,0,0,0,3,4,2,448
Mwanza,253,143,3,30,3,1,0,1,0,1,2,6,14,1,1,457
Njombe,121,108,1,0,0,2,0,1,2,16,0,4,4,1,2,298
Pwani,125,98,0,8,3,3,2,4,1,13,1,9,9,1,0,278
Rukwa,100,97,0,3,0,0,0,0,3,0,0,0,3,0,1,207
Ruvuma,213,84,0,1,0,0,0,0,3,1,0,0,0,0,3,302
Shinyanga,265,256,0,0,0,1,0,1,0,3,1,5,0,8,2,550
Simiyu,305,41,0,0,0,0,0,0,0,0,0,0,0,0,1,346
Singida,127,110,0,1,0,1,1,0,8,1,2,4,0,1,2,283
Songwe,195,30,1,1,1,0,0,0,1,13,1,1,1,0,1,245
Tabora,487,180,2,4,0,0,0,0,2,18,1,2,0,8,3,724
Tanga,84,144,2,8,2,0,9,6,0,29,5,4,2,1,3,296
TOTAL,4538,3946,46,95,24,27,46,95,96,189,116,189,50,186,1,9741
