Region,AMCOS,Beekeeping,Fishing,Housing,Joint_Venture,Mining,Others,SACCOS,Union,Total
Arusha,2,0,0,0,0,0,0,0,20,0,22
Dar es Salaam,3,0,0,17,0,0,0,0,2,0,22
Dodoma,9,1,0,1,1,0,0,4,0,0,16
Geita,8,0,0,1,2,0,0,0,2,0,13
Iringa,2,0,0,1,0,0,0,0,3,0,6
Kagera,12,0,0,0,1,0,0,0,8,0,21
Katavi,1,0,0,0,0,2,0,0,2,0,5
Kigoma,17,2,0,0,2,0,0,7,0,0,28
Kilimanjaro,1,0,0,1,0,0,0,5,0,0,7
Lindi,3,0,0,3,0,0,1,15,0,0,22
Manyara,4,0,0,0,1,0,0,11,0,0,16
Mara,4,0,0,4,1,0,0,5,1,0,34
Mbeya,9,0,0,1,0,0,1,16,0,0,27
Morogoro,29,0,0,1,0,0,0,4,2,0,36
Mtwara,1,0,0,15,0,0,2,23,0,0,41
Mwanza,1,1,0,1,0,0,0,2,0,0,5
Njombe,11,0,0,1,1,0,0,10,1,0,23
Pwani,1,0,0,1,0,0,0,7,0,0,9
Rukwa,8,0,0,0,0,0,0,29,0,0,37
Ruvuma,6,0,0,1,0,0,0,3,0,0,10
Shinyanga,1,0,0,1,0,0,0,26,1,0,29
Simiyu,2,0,0,0,1,0,0,37,0,0,40
Singida,11,0,0,0,1,0,0,2,5,0,19
Songwe,25,0,0,0,10,0,2,9,0,0,46
Tabora,118,8,5,10,2,0,1,36,52,1,380
Tanga,5,1,0,0,2,0,0,0,1,0,9
TOTAL,329,12,5,62,33,4,9,239,86,1,780
