Region,Zone,Capital,Population_2022,Area_Km2,Density_Per_Km2
Arusha,Mainland,Arusha,2356255,37576,62.7
Dar es Salaam,Mainland,Dar es Salaam,5383728,1393,3864.8
Dodoma,Mainland,Dodoma,3085625,41311,74.7
Geita,Mainland,Geita,2977608,20054,148.5
Iringa,Mainland,Iringa,1192728,35503,33.6
Kagera,Mainland,Bukoba,2989299,25265,118.3
Katavi,Mainland,Mpanda,1152958,45843,25.2
Kigoma,Mainland,Kigoma,2470967,45066,54.8
Kilimanjaro,Mainland,Moshi,1861934,13250,140.5
Lindi,Mainland,Lindi,1194028,66669,17.9
Manyara,Mainland,Babati,1892502,44522,42.5
Mara,Mainland,Musoma,2372015,21760,109.0
Mbeya,Mainland,Mbeya,2343754,35954,65.2
Morogoro,Mainland,Morogoro,3197104,70624,45.3
Mtwara,Mainland,Mtwara,1634947,16710,97.8
Mwanza,Mainland,Mwanza,3699872,9467,390.8
Njombe,Mainland,Njombe,889946,21347,41.7
Pwani,Mainland,Kibaha,2024947,32547,62.2
Rukwa,Mainland,Sumbawanga,1540519,22792,67.6
Ruvuma,Mainland,Songea,1848794,63669,29.0
Shinyanga,Mainland,Shinyanga,2241299,18901,118.6
Simiyu,Mainland,Bariadi,2140497,25212,84.9
Singida,Mainland,Singida,2008058,49340,40.7
Songwe,Mainland,Vwawa,1344687,27656,48.6
Tabora,Mainland,Tabora,3391679,76151,44.5
Tanga,Mainland,Tanga,2615597,26667,98.1
Mjini Magharibi,Zanzibar,Zanzibar City,893169,230,3883.3
Kaskazini Pemba,Zanzibar,Wete,272091,574,474.0
Kusini Pemba,Zanzibar,Chake-Chake,271350,332,817.3
Kaskazini Unguja,Zanzibar,Mkokotoni,257290,470,547.4
Kusini Unguja,Zanzibar,Koani,195873,854,229.4
