Region,Basic_Needs_Poverty_Incidence_Pct,Basic_Needs_Poverty_Gap_Pct,Basic_Needs_Poverty_Severity_Pct,Food_Poverty_Incidence_Pct,Food_Poverty_Gap_Pct,Food_Poverty_Severity_Pct
Dodoma,23.2,4.1,1.2,3.7,0.7,0.2
Arusha,24.7,5.8,1.9,7.6,1.2,0.3
Kilimanjaro,10.5,1.7,0.4,2.1,0.2,0.0
Tanga,21.0,5.1,1.7,8.0,1.0,0.2
Morogoro,19.3,3.7,1.1,4.3,0.5,0.1
Pwani,27.9,8.7,3.7,12.1,3.1,1.1
Dar es Salaam,8.0,2.0,0.7,2.3,0.5,0.1
Lindi,38.0,9.6,3.3,15.3,2.2,0.5
Mtwara,29.1,5.9,2.1,9.0,1.6,0.4
Ruvuma,30.6,6.7,2.1,6.6,1.0,0.3
Iringa,24.0,5.6,1.9,8.0,1.1,0.3
Mbeya,21.4,5.0,1.8,7.7,1.2,0.3
Singida,34.0,7.4,2.3,9.3,1.3,0.3
Tabora,34.5,8.3,2.8,11.1,1.7,0.4
Rukwa,45.0,12.9,4.8,19.8,3.4,0.9
Kigoma,34.5,10.1,4.4,14.2,3.8,1.5
Shinyanga,31.9,6.7,2.1,8.2,1.2,0.3
Kagera,31.9,8.3,3.2,12.0,2.5,0.7
Mwanza,34.6,7.8,2.6,9.4,1.4,0.3
Mara,23.2,4.2,1.1,2.2,0.4,0.1
Manyara,30.5,6.5,2.1,8.0,1.2,0.4
Njombe,13.2,2.4,0.8,3.3,0.7,0.1
Katavi,29.0,6.7,2.1,9.2,1.1,0.2
Simiyu,39.2,8.2,2.3,7.5,0.9,0.2
Geita,37.5,9.9,3.8,14.5,2.9,0.9
Songwe,20.7,4.4,1.4,5.6,0.7,0.3
TOTAL (Mainland),26.4,6.2,2.1,8.0,1.4,0.4
