Region,Banked_Pct_2023,Other_Formal_Pct_2023,Informal_Only_Pct_2023,Financially_Excluded_Pct_2023,Formal_Inclusion_Pct_2023,Formal_Inclusion_Pct_2017,Formal_Inclusion_Change_Pts,Data_Note
Dar es Salaam,45,48,1,6,93,93,0,excluded adjusted to sum 100 (extraction ambiguity)
Pwani,25,62,3,10,87,73,14,
Mbeya,27,57,3,13,84,63,21,
Mwanza,20,62,4,14,82,69,13,
Arusha,34,48,3,15,82,74,8,
Mara,22,60,5,13,82,56,26,
Mtwara,30,49,5,15,79,63,16,
Lindi,33,46,7,15,79,63,16,
Songwe,26,52,10,12,78,59,19,
Njombe,22,56,5,17,78,77,1,
Kilimanjaro,17,60,2,21,77,90,-13,
Geita,19,57,11,13,76,64,12,
Tanga,13,62,10,15,75,69,6,
Ruvuma,18,57,6,18,75,60,15,
Katavi,18,57,9,17,75,53,22,
Iringa,31,44,7,17,75,78,-3,
Dodoma,18,57,6,19,75,67,8,
Morogoro,13,56,6,26,69,64,5,
Manyara,14,53,4,28,67,48,19,
Tabora,12,54,6,27,66,48,18,
Shinyanga,16,49,9,26,65,59,6,
Rukwa,14,49,10,27,63,54,9,informal_only adjusted to sum 100 (extraction ambiguity)
Kagera,11,50,8,30,61,62,-1,
Simiyu,13,47,8,33,60,39,21,
Kigoma,14,44,4,38,58,59,-1,
Singida,10,43,6,41,53,48,5,
Mjini Magharibi,28,59,2,11,87,62,25,
Kusini Unguja,24,62,7,7,86,50,36,
Kusini Pemba,38,45,6,11,83,36,47,
Kaskazini Unguja,15,64,13,8,79,23,56,
Kaskazini Pemba,16,51,10,23,67,29,38,
