Region,SACCOS_Registered,SACCOS_Licensed,License_Rate_Pct
Arusha,133,101,76
Dar es Salaam,293,249,85
Dodoma,55,38,69
Geita,26,10,38
Iringa,49,35,71
Kagera,46,34,74
Katavi,5,2,40
Kigoma,23,6,26
Kilimanjaro,83,75,90
Lindi,11,3,27
Manyara,51,34,67
Mara,34,22,65
Mbeya,93,62,67
Morogoro,62,38,61
Mtwara,7,4,57
Mwanza,40,27,68
Njombe,65,28,43
Pwani,35,24,69
Rukwa,20,8,40
Ruvuma,22,15,68
Shinyanga,15,12,80
Simiyu,3,3,100
Singida,19,11,58
Songwe,10,6,60
Tabora,14,4,29
Tanga,69,33,48
TOTAL,1283,884,69
