Region,Core_Capital_TZS_Billions,Total_Assets_TZS_Billions,Loans_Outstanding_TZS_Billions,Savings_Deposits_TZS_Billions
Arusha,13.377,65.408,59.977,48.912
Dar es Salaam,107.953,915.769,783.805,689.47
Dodoma,3.191,15.267,10.099,9.351
Geita,0.35,1.778,1.701,1.274
Iringa,2.867,9.221,7.187,5.294
Kagera,4.682,20.873,17.14,12.426
Katavi,0.05,0.093,0.095,0.094
Kigoma,0.015,0.104,0.044,0.025
Kilimanjaro,15.269,119.084,95.837,92.429
Lindi,0.547,1.683,0.71,0.631
Mara,0.437,2.017,1.361,0.969
Manyara,0.504,2.465,2.206,2.165
Mbeya,13.422,71.898,57.638,49.927
Morogoro,4.083,25.763,19.35,15.723
Mtwara,0.022,0.921,0.184,0.06
Mwanza,3.696,15.719,14.303,8.324
Njombe,2.053,15.132,13.381,11.254
Pwani,1.505,20.907,12.429,5.062
Rukwa,0.495,1.36,1.087,1.029
Ruvuma,1.161,5.185,3.553,3.188
Shinyanga,1.525,2.974,1.124,1.773
Simiyu,0.125,1.234,0.614,0.032
Singida,0.901,3.35,4.258,1.856
Songwe,0.063,0.085,0.218,0.054
Tabora,0.023,0.187,0.121,0.166
Tanga,2.091,9.939,5.312,5.453
TOTAL,180.406,1328.416,1113.732,966.942
