Indicator,Value_2017,Value_2023,Note
Formal_Financial_Inclusion_Pct,65.0,76.0,
Banked_Adults_Pct,16.7,22.2,
Other_Formal_Services_Pct,48.6,53.5,CMGs reclassified as formal under Microfinance Act 2018
Informal_Services_Only_Pct,6.7,5.7,
Financially_Excluded_Pct,28.0,18.7,
Financially_Excluded_Adults_Millions,7.8,6.4,
Adult_Population_16plus_Millions,27.9,34.1,
Mobile_Money_Uptake_Pct,60.0,72.0,
Commercial_Bank_Uptake_Pct,17.0,22.0,Bank users 4.7M (2017) to 7.5M (2023)
Mobile_Wallet_Users_Millions,16.6,24.4,
CMG_Savings_Group_Uptake_Pct,15.0,16.0,Community Microfinance Groups; similar penetration retained
SACCOS_Users_Millions,0.4,0.6,About 1.4% (2017) and 1.8% (2023) of adults; change within survey margin of error
Insurance_Uptake_Pct,15.0,10.0,Insured adults 4.2M (2017) to 3.5M (2023)
Shop_Supply_Chain_Credit_Pct,12.0,8.0,25% in 2013; sustained decline
Saved_In_Past_12_Months_Pct,,47.0,Primarily to smooth cash flow; 47% of savers save at home
Borrowed_In_Past_12_Months_Pct,44.0,36.0,Friends and family remain key credit source (67% of borrowers)
