category,entity_type,entity,indicator,period,value,note,source
agriculture_trade,national,Tanzania,Cashew_Production_Tonnes,2019,225053,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Coffee_Production_Tonnes,2019,68147,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cotton_Production_Tonnes,2019,348910,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tea_Production_Tonnes,2019,37193,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tobacco_Production_Tonnes,2019,70824,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Sisal_Production_Tonnes,2019,33271,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Traditional_Cash_Crops_Total_Tonnes,2019,783398,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Coffee_Export_Value_USD_M,2019,152.2,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cotton_Export_Value_USD_M,2019,91.8,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cashew_Export_Value_USD_M,2019,353.1,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tobacco_Export_Value_USD_M,2019,146.5,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tea_Export_Value_USD_M,2019,45.7,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Sisal_Export_Value_USD_M,2019,19.3,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Traditional_Goods_Total_Export_Value_USD_M,2019,817.7,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
cooperatives,national,Tanzania,Total_Cooperatives_Registered,2020,9741,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,Tier2_MSPs_Licensed,2020,95,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Total_Food_Crop_Production_000_Tonnes,2020,18664,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Maize_Production_000_Tonnes,2020,7039,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Rice_Production_000_Tonnes,2020,2688,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Wheat_Production_000_Tonnes,2020,70,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cassava_Production_000_Tonnes,2020,2486,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cashew_Production_Tonnes,2020,232681,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Coffee_Production_Tonnes,2020,60651,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cotton_Production_Tonnes,2020,348958,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tea_Production_Tonnes,2020,28715,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tobacco_Production_Tonnes,2020,37546,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Sisal_Production_Tonnes,2020,36379,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Traditional_Cash_Crops_Total_Tonnes,2020,1058798,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Coffee_Export_Qty_000_Tonnes,2020,64,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Coffee_Export_Value_USD_M,2020,145.2,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cotton_Export_Qty_000_Tonnes,2020,72.6,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cotton_Export_Value_USD_M,2020,87.5,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cashew_Export_Qty_000_Tonnes,2020,320.9,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cashew_Export_Value_USD_M,2020,359.6,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tobacco_Export_Qty_000_Tonnes,2020,42.6,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tobacco_Export_Value_USD_M,2020,148.7,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tea_Export_Qty_000_Tonnes,2020,24.1,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tea_Export_Value_USD_M,2020,32.4,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Sisal_Export_Qty_000_Tonnes,2020,11.2,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Sisal_Export_Value_USD_M,2020,17.6,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Traditional_Goods_Total_Export_Value_USD_M,2020,808.1,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Total_Exports_FoB_Billion_TZS,2020,13883,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
cooperatives,national,Tanzania,Total_Cooperatives_Registered,2021,9741,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
cooperatives,national,Tanzania,AMCOS_Registered,2021,4538,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,SACCOS_Registered,2021,3946,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,SACCOS_Licensed_BoT,2021,533,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,SACCOS_License_Rate_Pct,2021,14,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
cooperatives,national,Tanzania,Total_Cooperative_Members,2021,6050327,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,SACCOS_Members,2021,693264,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,Tier2_MSPs_Licensed,2021,692,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,Tier3_SACCOS_Licensed_BoT,2021,580,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,Tier4_Community_MFGs,2021,24123,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
finance_access,national,Tanzania,Total_Microfinance_Providers,2021,25395,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Total_Food_Crop_Production_000_Tonnes,2021,17148,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Maize_Production_000_Tonnes,2021,6417,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Rice_Production_000_Tonnes,2021,1708,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Wheat_Production_000_Tonnes,2021,62,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cassava_Production_000_Tonnes,2021,2411,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cashew_Production_Tonnes,2021,210786,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Coffee_Production_Tonnes,2021,73027,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cotton_Production_Tonnes,2021,122836,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tea_Production_Tonnes,2021,27510,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Tobacco_Production_Tonnes,2021,58508,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Sisal_Production_Tonnes,2021,36170,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Traditional_Cash_Crops_Total_Tonnes,2021,898967,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Coffee_Export_Qty_000_Tonnes,2021,68,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Coffee_Export_Value_USD_M,2021,155.2,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cotton_Export_Qty_000_Tonnes,2021,48.8,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cotton_Export_Value_USD_M,2021,81.3,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
agriculture_trade,national,Tanzania,Cashew_Export_Qty_000_Tonnes,2021,154.4,,TCDC/Ushirika statistics (ushirika.go.tz) | NBS Statistical Abstract 2024 / Tanzania in Figures
