region,zone,population_2022,area_km2,density_per_km2,cooperatives_total_jun2025,new_cooperatives_fy2024_25,cooperatives_per_100k_pop,coop_employment_dec2023,saccos_registered_dec2023,saccos_licensed_dec2023,saccos_license_rate_pct_dec2023,saccos_licensed_jun2025,saccos_licensed_per_100k_pop_jun2025,saccos_core_capital_tzs_bn_2023,saccos_assets_tzs_bn_2023,saccos_loans_outstanding_tzs_bn_2023,saccos_savings_deposits_tzs_bn_2023,saccos_loans_per_capita_tzs_2023,saccos_loans_issued_tzs_mn_sep2021,banked_pct_2023,other_formal_pct_2023,informal_only_pct_2023,financially_excluded_pct_2023,formal_inclusion_pct_2023,formal_inclusion_pct_2017,formal_inclusion_change_pts,basic_needs_poverty_pct_2018,food_poverty_pct_2018,poverty_gap_pct_2018
Arusha,Mainland,2356255,37576,62.7,234,2,9.93,1834,133,101,76,106,4.5,13.377,65.408,59.977,48.912,25454,26872.1,34,48,3,15,82,74,8,24.7,7.6,5.8
Dar es Salaam,Mainland,5383728,1393,3864.8,675,20,12.54,4021,293,249,85,271,5.03,107.953,915.769,783.805,689.47,145588,396177.64,45,48,1,6,93,93,0,8,2.3,2
Dodoma,Mainland,3085625,41311,74.7,158,22,5.12,670,55,38,69,51,1.65,3.191,15.267,10.099,9.351,3273,11028.44,18,57,6,19,75,67,8,23.2,3.7,4.1
Geita,Mainland,2977608,20054,148.5,583,14,19.58,23351,26,10,38,13,0.44,0.35,1.778,1.701,1.274,571,1016.61,19,57,11,13,76,64,12,37.5,14.5,9.9
Iringa,Mainland,1192728,35503,33.6,191,4,16.01,1024,49,35,71,37,3.1,2.867,9.221,7.187,5.294,6026,7372.68,31,44,7,17,75,78,-3,24,8,5.6
Kagera,Mainland,2989299,25265,118.3,362,13,12.11,34300,46,34,74,37,1.24,4.682,20.873,17.14,12.426,5734,12588.92,11,50,8,30,61,62,-1,31.9,12,8.3
Katavi,Mainland,1152958,45843,25.2,56,3,4.86,1303,5,2,40,3,0.26,0.05,0.093,0.095,0.094,82,425.24,18,57,9,17,75,53,22,29,9.2,6.7
Kigoma,Mainland,2470967,45066,54.8,224,21,9.07,1758,23,6,26,7,0.28,0.015,0.104,0.044,0.025,18,184.73,14,44,4,38,58,59,-1,34.5,14.2,10.1
Kilimanjaro,Mainland,1861934,13250,140.5,300,2,16.11,2803,83,75,90,82,4.4,15.269,119.084,95.837,92.429,51472,39105.79,17,60,2,21,77,90,-13,10.5,2.1,1.7
Lindi,Mainland,1194028,66669,17.9,200,7,16.75,11180,11,3,27,3,0.25,0.547,1.683,0.71,0.631,595,1214.85,33,46,7,15,79,63,16,38,15.3,9.6
Manyara,Mainland,1892502,44522,42.5,154,5,8.14,438,51,34,67,34,1.8,0.504,2.465,2.206,2.165,1166,3175.12,14,53,4,28,67,48,19,30.5,8,6.5
